[08-Jul-2026 07:35:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 07:40:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 07:45:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 07:50:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 07:55:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 08:00:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 08:05:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 08:10:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 08:15:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 08:20:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 08:25:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 08:30:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 08:35:04 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 08:40:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 08:45:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 08:50:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 08:55:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 09:00:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 09:05:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 09:10:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 09:15:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 09:20:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 09:25:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 09:30:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 09:35:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 09:40:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 09:45:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 09:50:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 09:55:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 10:00:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 10:05:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 10:10:04 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 10:15:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 10:20:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 10:25:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 10:30:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 10:35:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 10:40:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 10:45:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 10:50:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 10:55:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 11:00:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 11:05:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 11:10:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 11:15:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 11:20:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 11:25:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 11:30:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 11:35:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 11:40:16 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 11:45:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 11:50:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 11:55:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 12:00:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 12:05:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 12:10:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 12:15:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 12:20:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 12:25:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 12:30:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 12:35:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 12:40:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 12:45:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 12:50:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 12:55:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
