[2026-07-18 16:49:32] [INFO] Router Dispatch - Method: GET, Path: /api/room/join
[2026-07-18 16:49:32] [INFO] Router Dispatch - Method: GET, Path: /api/user/time
[2026-07-18 16:49:32] [INFO] Router Dispatch - Method: GET, Path: /api/stock/one
[2026-07-18 16:49:32] [INFO] Router Dispatch - Method: GET, Path: /api/index/init
[2026-07-18 16:49:32] [INFO] Router Dispatch - Method: GET, Path: /api/shop/getKF
[2026-07-18 16:49:32] [INFO] Router Dispatch - Method: POST, Path: /api/app/config
[2026-07-18 16:49:32] [INFO] Router Dispatch - Method: GET, Path: /api/siteConfig
[2026-07-18 16:49:32] [INFO] Router Dispatch - Method: GET, Path: /api/home-links
[2026-07-18 16:49:32] [INFO] Router Dispatch - Method: GET, Path: /api/apps/config
[2026-07-18 16:49:32] [INFO] Router Dispatch - Method: GET, Path: /api/index/index
[2026-07-18 16:49:32] [INFO] Router Dispatch - Method: GET, Path: /api/Event/basic
[2026-07-18 16:49:32] [INFO] Router Dispatch - Method: GET, Path: /api/front/index
[2026-07-18 16:49:32] [INFO] Router Dispatch - Method: GET, Path: /api/common/init
[2026-07-18 16:49:32] [INFO] Router Dispatch - Method: POST, Path: /api/link-submit
[2026-07-18 16:49:32] [INFO] Router Dispatch - Method: GET, Path: /api/users/login
[2026-07-18 16:49:32] [INFO] Router Dispatch - Method: GET, Path: /api/user/config
[2026-07-18 16:49:32] [INFO] Router Dispatch - Method: GET, Path: /api/index/goods
[2026-07-18 16:49:32] [INFO] Router Dispatch - Method: GET, Path: /api/index/config
[2026-07-18 16:49:32] [INFO] Router Dispatch - Method: GET, Path: /api/product/list
[2026-07-18 16:49:32] [INFO] Router Dispatch - Method: GET, Path: /api/lottery/list
[2026-07-18 16:49:32] [INFO] Router Dispatch - Method: GET, Path: /api/app/indexList
[2026-07-18 16:49:32] [INFO] Router Dispatch - Method: GET, Path: /api/common/config
[2026-07-18 16:49:32] [INFO] Router Dispatch - Method: GET, Path: /api/Home/videoNew
[2026-07-18 16:49:32] [INFO] Router Dispatch - Method: GET, Path: /api/system/config
[2026-07-18 16:49:32] [INFO] Router Dispatch - Method: GET, Path: /api/get/getnotice
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/appSetting.do
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/uploads/apimap
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/product/getAll
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/v1/getGameList
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/site/getInfo.do
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/index/webconfig
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/v1/setting/main
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/latestSdkConfig
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: POST, Path: /api/v1/seller/login
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: POST, Path: /api/Uploads/apiimei
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/v3/seller/login
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/lottery/ranking
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/getWebSiteConfig
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: POST, Path: /api/user/ismustmobile
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/user/ismustmobile
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: POST, Path: /api/user/ismustmobile
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/index/productshow
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/index/get_setting
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/vue/common/config
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/publics/text_info
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: POST, Path: /api/app/version/check
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/Index/getHome
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/account/price_rate
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/user/language_list
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/index/getBannerList
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/public/recent-loans
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/baseconfig
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/wanlshop/common/init
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/banner
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: POST, Path: /api/common/getAllSetting
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/Config/getShowConfig
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/common/getBaseConfig
[2026-07-18 16:49:33] [INFO] Router Dispatch - Method: GET, Path: /api/dict/getServiceConfig
[2026-07-18 16:49:34] [INFO] Router Dispatch - Method: GET, Path: /api/currency/quotation_new
[2026-07-18 16:49:34] [INFO] Router Dispatch - Method: GET, Path: /api/common/country/country
[2026-07-18 16:49:34] [INFO] Router Dispatch - Method: GET, Path: /api/landing/check
[2026-07-18 16:49:34] [INFO] Router Dispatch - Method: GET, Path: /api/system/customer-service
